x, y, theta, stamp, 
-0.0013379247945639397, -1.5002201563319095, 1.3571400732668142, 421533000000, 
-0.0013390747719316425, -1.5002254519895517, 1.3571400160348952, 421567000000, 
-0.0013404788658392649, -1.5002319203002834, 1.3571399468253336, 421601000000, 
-0.0013421371324747432, -1.5002395614425006, 1.3571398655621139, 421635000000, 
-0.0010992874229755957, -1.4991202001170323, 1.3573163545277052, 421669000000, 
0.0008669959847684778, -1.4899453157143194, 1.367184738143468, 421771000000, 
0.0033775529103241453, -1.4753328743218217, 1.44066878158858, 421873000000, 
0.0046462538115292435, -1.4554797909314536, 1.578364789009821, 421975000000, 
0.0036825389420056883, -1.440801191832673, 1.6908988273022152, 422043000000, 
-0.0007979764302341182, -1.4192048478358297, 1.8558215527586028, 422145000000, 
-0.008728926189994551, -1.398641538154889, 2.0196898139497605, 422247000000, 
-0.020394894603220432, -1.3790210908061968, 2.1856870337042937, 422349000000, 
-0.03451519648724938, -1.3619347915202162, 2.329877882514988, 422451000000, 
-0.04502636404625715, -1.3518382450368953, 2.4171928559698608, 422519000000, 
-0.06257066163265672, -1.3382534568503661, 2.542854810734666, 422621000000, 
-0.08158294996985617, -1.3268091139253406, 2.654480748564653, 422723000000, 
-0.10171894722367274, -1.3174038179714846, 2.7532788825782943, 422825000000, 
-0.12268197323162414, -1.3098302387255438, 2.8423911681620297, 422927000000, 
-0.14423659934937144, -1.3041681674457017, 2.924763505652713, 423029000000, 
-0.1659322454815482, -1.3002317441675815, 2.996916470407546, 423131000000, 
-0.1804333018553228, -1.298477429283311, 3.042804662282723, 423199000000, 
-0.20216273194415177, -1.2970811220735985, 3.107831351293401, 423301000000, 
-0.22408630315764116, -1.2970019245605577, -3.11841385861387, 423403000000, 
-0.2461251678153565, -1.298083427869431, -3.069300901881965, 423505000000, 
-0.2608678417840939, -1.2993787608214515, -3.0400134486177857, 423573000000, 
-0.28296923473046165, -1.302083045316029, -3.001274763224693, 423675000000, 
-0.30508764457583426, -1.3055826261152041, -2.968857614168923, 423777000000, 
-0.32712246700396197, -1.3097346923842643, -2.941161098240156, 423879000000, 
-0.34903875276994994, -1.3144530773991974, -2.916983859381937, 423981000000, 
-0.37083706826562124, -1.3196722478923943, -2.8964056404862886, 424083000000, 
-0.39252192446001716, -1.3253171971777349, -2.877899337812365, 424185000000, 
-0.40691808151866976, -1.3292892852827427, -2.866391385748172, 424253000000, 
-0.428427063043921, -1.3355310881961384, -2.851492738673409, 424355000000, 
-0.4498380586281077, -1.3420750054444681, -2.8382713716794887, 424457000000, 
-0.4711570984197383, -1.348886001669472, -2.8264798815215726, 424559000000, 
-0.49239568924430366, -1.3559326135676035, -2.8162949303731786, 424661000000, 
-0.5135685290743439, -1.3631915107650687, -2.8069742846969525, 424763000000, 
-0.5276500506520253, -1.3681362354242719, -2.8011039898408625, 424831000000, 
-0.5487273460298965, -1.3756976602404596, -2.7933924341201655, 424933000000, 
-0.5697530101980786, -1.383405309180672, -2.7865122759930365, 425035000000, 
-0.5907367544326485, -1.3912538089769735, -2.780297565438142, 425137000000, 
-0.6116845979112755, -1.399229327311593, -2.774921172630218, 425239000000, 
-0.6256260930915674, -1.4046114466337234, -2.7714972451372364, 425307000000, 
-0.6465165722519736, -1.412770446725579, -2.7668812660466555, 425409000000, 
-0.667376625492954, -1.4210357541821286, -2.762800490835604, 425511000000, 
-0.6882175982160909, -1.4294033451941595, -2.7593340355697733, 425613000000, 
-0.7020987748949484, -1.4349913724271754, -2.7571089324829496, 425681000000, 
-0.7229014850639557, -1.4434430818887913, -2.7539092583286324, 425783000000, 
-0.7436863805437757, -1.4519675999791588, -2.751225086726317, 425885000000, 
-0.7644534098412028, -1.460543009447827, -2.748788120734518, 425987000000, 
-0.7782891078123203, -1.4662881176980698, -2.7473409213688673, 426055000000, 
-0.7990304539371161, -1.4749436611231228, -2.745241655355872, 426157000000, 
-0.8197557510732046, -1.483639767948531, -2.743397666993298, 426259000000, 
-0.8404568738069291, -1.4923682519251926, -2.741745268850084, 426361000000, 
