x, y, th, stamp, 
-0.42447397112846375, -12.445335388183594, -1.6994406763745318, 1759176327277398040, 
-0.42447397112846375, -12.445335388183594, -1.6994406763745318, 1759176327326254230, 
-0.42447397112846375, -12.445335388183594, -1.6994406763745318, 1759176327375720199, 
-0.42447397112846375, -12.445335388183594, -1.699440881420789, 1759176327428390488, 
-0.4244654178619385, -12.44534683227539, -1.699440881420789, 1759176327466044765, 
-0.4249110817909241, -12.447762489318848, -1.6984165815479353, 1759176327515722790, 
-0.42596539855003357, -12.455202102661133, -1.69799353227743, 1759176327586932073, 
-0.42672058939933777, -12.461621284484863, -1.6980895264290135, 1759176327626628694, 
-0.42793506383895874, -12.471358299255371, -1.6971558404770921, 1759176327676128600, 
-0.4295191168785095, -12.483360290527344, -1.6971558404770921, 1759176327726255888, 
-0.4313509166240692, -12.497767448425293, -1.6973375013426346, 1759176327775946321, 
-0.43335428833961487, -12.514298439025879, -1.6986540693514847, 1759176327827070287, 
-0.4354225993156433, -12.529169082641602, -1.6986540693514847, 1759176327867153803, 
-0.43806928396224976, -12.549598693847656, -1.69964813740742, 1759176327915742372, 
-0.44213536381721497, -12.580465316772461, -1.6983144249688706, 1759176327987602209, 
-0.44424477219581604, -12.59873104095459, -1.6964219676001926, 1759176328027118497, 
-0.44693723320961, -12.62105655670166, -1.6952978069247688, 1759176328075957089, 
-0.4496488571166992, -12.64318561553955, -1.6943460422720513, 1759176328125963172, 
-0.452208936214447, -12.665929794311523, -1.6948673951230502, 1759176328175958492, 
-0.45496395230293274, -12.688210487365723, -1.6949810330896584, 1759176328226263486, 
-0.4571923613548279, -12.706571578979492, -1.6954847856526527, 1759176328267532188, 
-0.4610692262649536, -12.738020896911621, -1.6955080003431808, 1759176328335884319, 
-0.46407926082611084, -12.760025978088379, -1.6953518056478862, 1759176328385990610, 
-0.466198593378067, -12.778228759765625, -1.6963458906348508, 1759176328426986013, 
-0.468872606754303, -12.800378799438477, -1.6963458906348508, 1759176328475954830, 
-0.4716186821460724, -12.822957038879395, -1.6963458906348508, 1759176328525974214, 
-0.47439366579055786, -12.845491409301758, -1.6949919187191744, 1759176328576090559, 
-0.47725236415863037, -12.868026733398438, -1.6949913827791294, 1759176328627324230, 
-0.4794333875179291, -12.885851860046387, -1.694991204132717, 1759176328668026236, 
-0.48319926857948303, -12.917156219482422, -1.6951260502544325, 1759176328735910784, 
-0.48495757579803467, -12.930805206298828, -1.6951260502544325, 1759176328766110051, 
-0.4883745312690735, -12.957740783691406, -1.6954286221291461, 1759176328826157410, 
-0.49122411012649536, -12.980119705200195, -1.6954286221291461, 1759176328876032935, 
-0.4938576817512512, -13.002434730529785, -1.6954286221291461, 1759176328925978140, 
-0.49671751260757446, -13.024852752685547, -1.6949475185482599, 1759176328975958382, 
