x, y, th, stamp, 
-1.1165516376495361, -16.94495391845703, 0.25781972247608287, 1759176500277474305, 
-1.1128169298171997, -16.9437255859375, 0.2672707504329409, 1759176500325312461, 
-1.1071794033050537, -16.942102432250977, 0.2822050648287101, 1759176500376374153, 
-1.1003309488296509, -16.939863204956055, 0.29942067455085924, 1759176500425540580, 
-1.091708779335022, -16.937009811401367, 0.32183862137778235, 1759176500476343808, 
-1.0841113328933716, -16.93424415588379, 0.3425060873540028, 1759176500516521191, 
-1.0708889961242676, -16.92913246154785, 0.3784367082601343, 1759176500585662773, 
-1.0620156526565552, -16.925477981567383, 0.404294955056324, 1759176500635910724, 
-1.0550987720489502, -16.922332763671875, 0.424690416371606, 1759176500676229037, 
-1.046297550201416, -16.918067932128906, 0.449397955567106, 1759176500725631154, 
-1.0377932786941528, -16.913610458374023, 0.47418278000529546, 1759176500775443296, 
-1.0294028520584106, -16.909006118774414, 0.49966052766021557, 1759176500826398516, 
-1.0207456350326538, -16.90422821044922, 0.5252403463314663, 1759176500876384566, 
-1.0109577178955078, -16.897872924804688, 0.5536615440554338, 1759176500935800431, 
-1.0032097101211548, -16.892475128173828, 0.5788197877353467, 1759176500986346613, 
-0.9951125383377075, -16.88690757751465, 0.6041420404238497, 1759176501036185548, 
-0.9889265298843384, -16.881938934326172, 0.6233656874089131, 1759176501075742159, 
-0.9811881184577942, -16.876144409179688, 0.6486979020870252, 1759176501125874703, 
-0.9739799499511719, -16.870080947875977, 0.6740447190434705, 1759176501175201830, 
-0.9667549729347229, -16.8633975982666, 0.698397489777892, 1759176501225137148, 
-0.9595209360122681, -16.856891632080078, 0.7248819277021437, 1759176501275883476, 
-0.9513596892356873, -16.84885597229004, 0.7543776452128217, 1759176501335873037, 
-0.9441755414009094, -16.842193603515625, 0.7789197310144059, 1759176501386040429, 
-0.9371817111968994, -16.83512306213379, 0.803463092107332, 1759176501437074708, 
-0.9317275881767273, -16.829416275024414, 0.823983116329995, 1759176501476044813, 
-0.9250494837760925, -16.822063446044922, 0.8487279588970291, 1759176501526056970, 
-0.9185395836830139, -16.814544677734375, 0.8730201904876682, 1759176501576056783, 
-0.9121127724647522, -16.806873321533203, 0.8975071196990199, 1759176501625147306, 
-0.9059426784515381, -16.799028396606445, 0.9237337264039585, 1759176501677675414, 
-0.9012391567230225, -16.79249382019043, 0.9433347505097643, 1759176501716031821, 
-0.8933417797088623, -16.781200408935547, 0.9783591426614527, 1759176501785175054, 
-0.8881630897521973, -16.77352523803711, 1.0011010735398596, 1759176501831117225, 
-0.8834418654441833, -16.76609230041504, 1.0227194660649634, 1759176501875040445, 
-0.878286600112915, -16.75772476196289, 1.0473929889623945, 1759176501926060804, 
-0.8734917640686035, -16.749225616455078, 1.07306883463609, 1759176501976024526, 
-0.8686102628707886, -16.74036407470703, 1.098676467045742, 1759176502026657709, 
-0.8634105920791626, -16.7296199798584, 1.1272664261747105, 1759176502084943545, 
-0.8592206239700317, -16.720840454101562, 1.1530731062804134, 1759176502136028374, 
-0.8552090525627136, -16.711795806884766, 1.1785300124644877, 1759176502186201813, 
-0.8517192006111145, -16.703176498413086, 1.201056838981021, 1759176502232592117, 
-0.8485496044158936, -16.695207595825195, 1.2228390059113572, 1759176502276344486, 
-0.8452303409576416, -16.6857967376709, 1.2471194803050585, 1759176502326063214, 
-0.8421670794487, -16.676435470581055, 1.2721495757212176, 1759176502376044654, 
-0.8392170667648315, -16.666818618774414, 1.2964193741138728, 1759176502426159414, 
-0.8358545899391174, -16.65509033203125, 1.326530455758613, 1759176502486460900, 
-0.8336048126220703, -16.645538330078125, 1.3512786471014129, 1759176502535261026, 
-0.8314745426177979, -16.635507583618164, 1.3783009987574164, 1759176502587264289, 
-0.8296476006507874, -16.626474380493164, 1.400973194084889, 1759176502632046700, 
-0.8282600045204163, -16.617568969726562, 1.421448223767347, 1759176502676068374, 
-0.8269043564796448, -16.607858657836914, 1.4454040936037338, 1759176502725066148, 
-0.8254961371421814, -16.598106384277344, 1.472252405082289, 1759176502776029619, 
-0.8245492577552795, -16.58818244934082, 1.4971667432246019, 1759176502827089516, 
-0.823698103427887, -16.576086044311523, 1.5259712683045994, 1759176502886141328, 
-0.8232442736625671, -16.56641387939453, 1.5510031920642824, 1759176502936240842, 
-0.8231238126754761, -16.56029510498047, 1.5661396740102171, 1759176502965796238, 
-0.8231496214866638, -16.547080993652344, 1.6005869875196574, 1759176503033448250, 
-0.8235171437263489, -16.538591384887695, 1.622639697149629, 1759176503076074929, 
-0.8240903615951538, -16.528825759887695, 1.6467790058217573, 1759176503126199646, 
-0.8248162865638733, -16.518718719482422, 1.6714371916157913, 1759176503176213493, 
-0.82583087682724, -16.50950050354004, 1.6950340778449506, 1759176503223064375, 
-0.826997697353363, -16.499631881713867, 1.719452838227005, 1759176503273319266, 
-0.8283951878547668, -16.491291046142578, 1.7404540322143116, 1759176503315928903, 
-0.8307949304580688, -16.478002548217773, 1.7743063798471566, 1759176503384254565, 
-0.8327705264091492, -16.468271255493164, 1.7999181281375063, 1759176503434317192, 
-0.8347412943840027, -16.460084915161133, 1.821278899513367, 1759176503476061269, 
-0.8371772170066833, -16.450660705566406, 1.8468081337179079, 1759176503526078152, 
-0.8399762511253357, -16.44088363647461, 1.8722196496117884, 1759176503577080006, 
-0.8428577780723572, -16.431869506835938, 1.8955165328136168, 1759176503624091808, 
-0.8460614681243896, -16.422605514526367, 1.9201341515244885, 1759176503674335614, 
-0.8488855957984924, -16.414810180664062, 1.9420436571355006, 1759176503716410608, 
