x, y, th, stamp, 
-0.8794675469398499, -16.70701789855957, -1.5305886245624891, 1759176643983278201, 
-0.8794816732406616, -16.70703125, -1.530444104208007, 1759176644030135986, 
-0.8795133233070374, -16.708066940307617, -1.519353696504198, 1759176644080501071, 
-0.8793743252754211, -16.710063934326172, -1.4991863699004797, 1759176644122832969, 
-0.8792258501052856, -16.712705612182617, -1.461273223520063, 1759176644173590472, 
-0.8788052201271057, -16.717018127441406, -1.413732046284917, 1759176644222739610, 
-0.8780523538589478, -16.72150421142578, -1.3601967091758027, 1759176644271551155, 
-0.8764416575431824, -16.728322982788086, -1.2814189007896257, 1759176644332740895, 
-0.874937891960144, -16.733665466308594, -1.2182963680385617, 1759176644383199421, 
-0.8726711869239807, -16.739160537719727, -1.1509608542144512, 1759176644430945762, 
-0.869585394859314, -16.746295928955078, -1.0718504846505674, 1759176644481159161, 
-0.8659821152687073, -16.752653121948242, -1.0011610139284273, 1759176644523476437, 
-0.8609010577201843, -16.76055145263672, -0.9086262457915459, 1759176644573586472, 
-0.8525747656822205, -16.770606994628906, -0.7809528894528913, 1759176644642253271, 
-0.8490028381347656, -16.77457046508789, -0.7265462152352332, 1759176644672061376, 
-0.8406378030776978, -16.782085418701172, -0.6146436955140805, 1759176644734104913, 
-0.8337493538856506, -16.787492752075195, -0.522796960813026, 1759176644784808644, 
-0.826343834400177, -16.791526794433594, -0.43863063390164314, 1759176644831925403, 
-0.8189110159873962, -16.795360565185547, -0.3577030499279937, 1759176644882670436, 
-0.8133958578109741, -16.79751205444336, -0.30406229039357885, 1759176644924612163, 
-0.80743008852005, -16.799711227416992, -0.24784242333053644, 1759176644974899435, 
-0.801235020160675, -16.801467895507812, -0.1928708590432415, 1759176645024629570, 
-0.7947474122047424, -16.80276870727539, -0.13590097824923927, 1759176645072922974, 
-0.7863005995750427, -16.804264068603516, -0.06268703551880579, 1759176645134378706, 
-0.7792308330535889, -16.80471420288086, -0.001065911523681355, 1759176645182851148, 
-0.7716688513755798, -16.804767608642578, 0.0629203828442699, 1759176645232870013, 
-0.763346254825592, -16.804183959960938, 0.13600237681284186, 1759176645283612256, 
-0.7551834583282471, -16.80312728881836, 0.20052149627759017, 1759176645323682885, 
-0.7437615394592285, -16.801177978515625, 0.28930061447674654, 1759176645374677688, 
-0.7321483492851257, -16.79756736755371, 0.3766957432589211, 1759176645422989106, 
-0.7187799215316772, -16.792692184448242, 0.48246144368332083, 1759176645483578916, 
-0.7083231806755066, -16.787410736083984, 0.5685208828069592, 1759176645533458419, 
-0.6983916759490967, -16.781293869018555, 0.6563001952578217, 1759176645582882381, 
-0.6892968416213989, -16.774517059326172, 0.7460438988472158, 1759176645633702284, 
-0.6807582974433899, -16.766672134399414, 0.8365598908147609, 1759176645684546372, 
-0.6747213006019592, -16.760311126708984, 0.9081802580732268, 1759176645723624316, 
-0.6675117015838623, -16.751937866210938, 0.9936831518025767, 1759176645774696284, 
-0.6603386998176575, -16.741073608398438, 1.0802935328102763, 1759176645843161217, 
-0.657864511013031, -16.73652458190918, 1.1127451154599302, 1759176645872828022, 
-0.6530056595802307, -16.726593017578125, 1.1836324953706279, 1759176645933909451, 
-0.6498607993125916, -16.717693328857422, 1.2439169612150365, 1759176645982835053, 
-0.6466105580329895, -16.708847045898438, 1.3048475571124882, 1759176646033635547, 
-0.6441370248794556, -16.699417114257812, 1.362932933035738, 1759176646083606919, 
-0.6425055861473083, -16.69207000732422, 1.4096745266036552, 1759176646122939926, 
-0.640783429145813, -16.68265724182129, 1.470445595383229, 1759176646174647967, 
-0.6394354104995728, -16.669408798217773, 1.5558865226199994, 1759176646244286185, 
-0.6394528746604919, -16.66387367248535, 1.5900851744260698, 1759176646273164356, 
-0.6398096680641174, -16.652149200439453, 1.6617024211833562, 1759176646332767021, 
