acc_x, acc_y, angular_z, stamp, 
0.030847907066345215, -0.006374359130859375, -3.063460348139815e-10, 1759176499701538267, 
-0.01609891653060913, -0.022683560848236084, -5.081651252034416e-10, 1759176499727806804, 
-0.03780078887939453, 0.0060842037200927734, -4.960176276190035e-10, 1759176499757872330, 
0.01788461208343506, 0.009676098823547363, -5.081743410469477e-10, 1759176499787835842, 
0.03746849298477173, 0.002284705638885498, -9.900414155600656e-07, 1759176499817954485, 
0.0012624859809875488, -0.024665772914886475, -6.323396199337177e-10, 1759176499847923781, 
0.004595160484313965, -0.008248388767242432, -9.902985858518826e-07, 1759176499878037103, 
-0.008059203624725342, -0.00807112455368042, -5.273572428004541e-10, 1759176499908861201, 
0.004397332668304443, 0.0027847886085510254, -9.234513400969925e-07, 1759176499941148283, 
-0.006652116775512695, 0.008366823196411133, -4.958814755747194e-10, 1759176499968311954, 
-0.00505298376083374, -0.009470999240875244, -9.969965890817581e-07, 1759176499998215144, 
-0.003248155117034912, -0.0039484500885009766, -2.966758737548845e-10, 1759176500027276657, 
0.005800008773803711, 0.014068961143493652, -9.60100474289072e-07, 1759176500058325139, 
0.014673054218292236, 0.0014897584915161133, -2.707919762635214e-10, 1759176500088369691, 
-0.007083594799041748, -0.023685574531555176, -9.919251054030518e-07, 1759176500118420522, 
0.0018491148948669434, -0.005625784397125244, -1.867513691224224e-10, 1759176500149813009, 
0.028817057609558105, -0.012558817863464355, -9.530837700154898e-07, 1759176500181084288, 
-0.0017985701560974121, 0.0018780827522277832, -0.0001918390210167209, 1759176500208581100, 
1.7169817686080933, -0.029112279415130615, 0.14811592868376325, 1759176500267761996, 
0.23242032527923584, 0.36428725719451904, 0.1499947845709967, 1759176500298707736, 
0.9374843239784241, -0.2038426399230957, 0.230579512905377, 1759176500328957620, 
-0.0672752857208252, -0.01744842529296875, 0.2813440638070944, 1759176500358863666, 
0.8001358509063721, 0.15684956312179565, 0.3223053362736926, 1759176500388924507, 
1.278167724609375, 0.3315671682357788, 0.33424470929383393, 1759176500420965467, 
0.24178743362426758, -0.07366716861724854, 0.4309172933675301, 1759176500449089288, 
0.8135864734649658, -0.0370144248008728, 0.47096633315534975, 1759176500479018454, 
0.5992497205734253, 0.5785802006721497, 0.5171092832127316, 1759176500509066109, 
-0.15783262252807617, -0.20733964443206787, 0.524823093826772, 1759176500539101864, 
-0.3099559545516968, 0.02737206220626831, 0.5249673245487194, 1759176500569129853, 
-0.3202176094055176, 0.2945968508720398, 0.5048666593621977, 1759176500599296959, 
-0.2694668173789978, -0.06370937824249268, 0.5204131708895329, 1759176500628307229, 
-0.40864598751068115, 0.19462287425994873, 0.4609945973400847, 1759176500661454497, 
0.43199294805526733, 0.09133636951446533, 0.5156432191835603, 1759176500691456468, 
-0.02391904592514038, 0.15929526090621948, 0.5334872362882411, 1759176500719545471, 
-0.027384459972381592, 0.059291720390319824, 0.5030093009831169, 1759176500749420821, 
0.02443540096282959, -0.2190573811531067, 0.4314375706274424, 1759176500772880104, 
0.4091399908065796, 0.34678828716278076, 0.5503133506745925, 1759176500809557581, 
-0.39026349782943726, -0.2025740146636963, 0.5087565765703846, 1759176500838745644, 
-0.19693529605865479, 0.04760843515396118, 0.4988698173832353, 1759176500869676275, 
0.06969881057739258, 0.32688647508621216, 0.45535771144031323, 1759176500900964271, 
-0.492679238319397, -0.3716513514518738, 0.4440785866388531, 1759176500933308772, 
0.1858283281326294, 0.15465432405471802, 0.5709693997116648, 1759176500959800289, 
0.17921513319015503, 0.2202504277229309, 0.5031741011752433, 1759176500989821446, 
-0.04650169610977173, 0.05938929319381714, 0.4394616236489353, 1759176501013304904, 
-0.09133404493331909, 0.21306413412094116, 0.5608761077894688, 1759176501040009821, 
-0.06431806087493896, -0.08219820261001587, 0.4731053936233295, 1759176501070129619, 
-0.36166954040527344, -0.07198089361190796, 0.4973161007627723, 1759176501100002875, 
-0.12263822555541992, 0.14278489351272583, 0.5169868483844877, 1759176501130052901, 
-0.14432883262634277, 0.27725929021835327, 0.5192024367601479, 1759176501160140793, 
0.5435306429862976, -0.1461777687072754, 0.4986936167043269, 1759176501190211707, 
0.06183892488479614, 0.2546995282173157, 0.4727740385801485, 1759176501221133994, 
-0.2407071590423584, -0.19778645038604736, 0.465392694724873, 1759176501253280420, 
0.006637394428253174, 0.31090056896209717, 0.5508261463293803, 1759176501290626867, 
-0.49658989906311035, 0.0010462403297424316, 0.49463107532985845, 1759176501320406293, 
0.3133624792098999, -0.08817094564437866, 0.5046428143160091, 1759176501350484146, 
0.2454032301902771, 0.3575640916824341, 0.4840204113655517, 1759176501380754284, 
0.2990782856941223, 0.049156904220581055, 0.4429553265210512, 1759176501413123070, 
-0.08724111318588257, 0.156511127948761, 0.5363130053200443, 1759176501440944090, 
0.0545160174369812, 0.06960076093673706, 0.5373707525724462, 1759176501469767836, 
-0.15838515758514404, -0.014645099639892578, 0.4985302511433006, 1759176501500767079, 
0.1897510290145874, 0.393163800239563, 0.4892104320257263, 1759176501531044823, 
0.04576355218887329, 0.09788644313812256, 0.48630783971077235, 1759176501560841950, 
0.46516501903533936, 0.02674400806427002, 0.49731271493409357, 1759176501591101742, 
-0.29953354597091675, 0.48201948404312134, 0.4882666670704323, 1759176501621612560, 
-0.1558668613433838, -0.24531316757202148, 0.47834322152630776, 1759176501653094283, 
-0.035887300968170166, 0.03510546684265137, 0.5412490502865543, 1759176501681077455, 
-0.3520740866661072, 0.02149742841720581, 0.4998878250502223, 1759176501711093701, 
0.16430938243865967, 0.1626719832420349, 0.5100760232124808, 1759176501741123240, 
0.3579142689704895, 0.17744189500808716, 0.5044611361431501, 1759176501771165531, 
0.04830455780029297, -0.09347885847091675, 0.5033187755372319, 1759176501801226479, 
-0.17187398672103882, 0.20760577917099, 0.4895844307525988, 1759176501831298698, 
-0.13203805685043335, 0.0027687549591064453, 0.5008246158293852, 1759176501860328898, 
-0.16694962978363037, -0.06128394603729248, 0.450114254830635, 1759176501893101536, 
-0.11175364255905151, 0.5150009989738464, 0.46986482569921945, 1759176501924198475, 
-0.049900174140930176, -0.2932412624359131, 0.5359079076344232, 1759176501961576071, 
0.4210299849510193, 0.09504300355911255, 0.5273733255068848, 1759176501991555752, 
-0.5193465948104858, 0.10561776161193848, 0.5070198622448322, 1759176502021555618, 
0.3586845397949219, 0.36464202404022217, 0.48596990761408443, 1759176502052719394, 
0.1095324158668518, 0.03875577449798584, 0.4352846915902558, 1759176502085970033, 
-0.33982664346694946, -0.08457261323928833, 0.570473131184648, 1759176502111852659, 
0.10016560554504395, 0.10265672206878662, 0.5230206285131361, 1759176502141988061, 
-0.057307422161102295, 0.41093093156814575, 0.5182008861032473, 1759176502171956031, 
0.19603466987609863, -0.00399249792098999, 0.49098934484928797, 1759176502201931750, 
-0.2355644702911377, -0.18469804525375366, 0.4852350319233234, 1759176502232018967, 
-0.16255760192871094, 0.18352407217025757, 0.494405145400854, 1759176502262083915, 
0.1314370036125183, 0.14414602518081665, 0.47772217282581037, 1759176502293091591, 
0.2746974229812622, 0.2216418981552124, 0.4440680141768755, 1759176502325640004, 
0.18421566486358643, -0.2494390606880188, 0.544177316463935, 1759176502362175850, 
-0.5181270837783813, 0.18352073431015015, 0.49912460340453374, 1759176502392223793, 
-0.3433223366737366, -0.04751092195510864, 0.47731529241318493, 1759176502422368016, 
-0.10710763931274414, -0.12216734886169434, 0.4739450386832213, 1759176502453594904, 
-0.4151124358177185, 0.3058760166168213, 0.4739960536536305, 1759176502485232545, 
0.3270123600959778, -0.09141111373901367, 0.5438112641933569, 1759176502512469621, 
0.11235088109970093, 0.1426328420639038, 0.5269794070522221, 1759176502542632199, 
-0.06186985969543457, 0.22313779592514038, 0.46634622179630303, 1759176502565355244, 
-0.21145236492156982, -0.08101010322570801, 0.5493637714314694, 1759176502602574396, 
