x, y, theta, stamp, 
-2.9888075835194887, -2.9878986495682156, -2.7077165014962468, 451113000000, 
-2.988807578497301, -2.9878986471007654, -2.70771650666328, 451147000000, 
-2.9888075829107454, -2.987898649353593, -2.707716512581715, 451181000000, 
-2.9888075968335492, -2.987898655969755, -2.7077165197721005, 451215000000, 
-2.991540139085209, -2.9891631502304734, -2.710439140085472, 451283000000, 
-2.99991704143448, -2.992748400500619, -2.770875323505246, 451385000000, 
-3.0136480110212873, -2.997175254101494, -2.895207364528901, 451487000000, 
-3.025998204592462, -2.99953982662259, -3.013738593201272, 451555000000, 
-3.048370474947929, -2.9999341362999594, 3.04461860996178, 451657000000, 
-3.0706880320300027, -2.995211828943821, 2.819433342447611, 451759000000, 
-3.0914035980368837, -2.9856732065420815, 2.599530655929626, 451861000000, 
-3.1096100362996775, -2.9719566783003266, 2.390035614981752, 451963000000, 
-3.1246283964613544, -2.954821648006118, 2.187985370541078, 452065000000, 
-3.1361689028180892, -2.93522377185992, 2.0180461490174726, 452167000000, 
-3.1419746374099358, -2.921219743000814, 1.9094831392458473, 452235000000, 
-3.1478840365762513, -2.8997245472890727, 1.7604769829606783, 452337000000, 
-3.150555757801735, -2.877963185083702, 1.6218639349273867, 452439000000, 
-3.1503281568170483, -2.8560341962805267, 1.4988450664527648, 452541000000, 
-3.1475306331168764, -2.834091917978367, 1.390348466986975, 452643000000, 
-3.1424865062906724, -2.8124686171945554, 1.2965952879384062, 452745000000, 
-3.1355043372042584, -2.7910195434213105, 1.2189740178767408, 452847000000, 
-3.1269935656530787, -2.770119939951939, 1.1511438175109028, 452949000000, 
-3.117196014924474, -2.7498213481566016, 1.092348052583454, 453051000000, 
-3.110105551573447, -2.736711976748141, 1.0559362847756883, 453119000000, 
-3.0985546840505536, -2.7173880993008273, 1.009253431336984, 453221000000, 
-3.0861760195032812, -2.6985874587641026, 0.9681527338642463, 453323000000, 
-3.073091700998124, -2.680278710364745, 0.9323067809739708, 453425000000, 
-3.059402152738507, -2.6624237551762406, 0.9007064901897771, 453527000000, 
-3.049976441324943, -2.6507595092979996, 0.8821326687608113, 453595000000, 
-3.0354599886025193, -2.6335793738007647, 0.8564415783788065, 453697000000, 
-3.020540784200616, -2.616751884113942, 0.8341192358475807, 453799000000, 
-3.0052731191895097, -2.600243244001062, 0.8145073123347335, 453901000000, 
-2.989703152091707, -2.5840204586060493, 0.7970346547442275, 454003000000, 
-2.9738718397259336, -2.568064950539599, 0.7819563077308451, 454105000000, 
-2.957821932732971, -2.552348837460761, 0.7683314417432299, 454207000000, 
-2.9415791448571835, -2.5368457366440706, 0.7562120222969428, 454309000000, 
-2.925162143383749, -2.521527992129539, 0.7455559847491112, 454411000000, 
-2.9141311485311436, -2.5114078949878937, 0.7390049829665035, 454479000000, 
-2.903037524131215, -2.5013557656837433, 0.7332505501159802, 454547000000, 
-2.886290487068984, -2.4863934798764307, 0.725220979816739, 454649000000, 
-2.8694296394085526, -2.4715565893015805, 0.7181164225669481, 454751000000, 
-2.8524699578152086, -2.456832015271764, 0.7119425938132126, 454853000000, 
-2.835430299694891, -2.4422093473170214, 0.70647362731593, 454955000000, 
-2.8183205142584336, -2.427681717515045, 0.7015165456875355, 455057000000, 
-2.801144034273928, -2.413237417665295, 0.696834849454452, 455159000000, 
-2.7839052020911446, -2.3988649666637394, 0.6930376114484573, 455261000000, 
-2.7666115456286327, -2.3845538004278812, 0.6895996621533368, 455363000000, 
-2.749269400510004, -2.3702971036845195, 0.6865278197246378, 455465000000, 
-2.737684310820348, -2.360820448508192, 0.6846502123792314, 455533000000, 
-2.720279027891431, -2.346645711227285, 0.6821819357860398, 455635000000, 
-2.7028444455793394, -2.332515449809848, 0.6799788982624647, 455737000000, 
-2.6853816235865904, -2.3184230985320644, 0.6780253380294098, 455839000000, 
-2.667891102629135, -2.3043613609248665, 0.6763596720932048, 455941000000, 
-2.650374958482774, -2.290326084889276, 0.6748320119727883, 456043000000, 
-2.632838401687542, -2.2763162626009428, 0.6734647809465786, 456145000000, 
-2.6211384939540463, -2.266990089949715, 0.6726197372951557, 456213000000, 
-2.6035770620006, -2.2530198392005327, 0.6715078673508523, 456315000000, 
-2.5860015474282037, -2.239068925995089, 0.6705141759449934, 456417000000, 
-2.568411560104153, -2.2251335132727545, 0.66963060108333, 456519000000, 
-2.550808487640153, -2.2112114179240487, 0.6688721187677198, 456621000000, 
-2.5331950753489227, -2.1973022939413407, 0.6681757965989508, 456723000000, 
-2.515574011005512, -2.183405870369677, 0.6675516980595811, 456825000000, 
-2.497946231842779, -2.169520737833697, 0.6669978839658128, 456927000000, 
-2.4861904135656743, -2.1602691791357107, 0.6666564461152583, 456995000000, 
-2.468550405949449, -2.1463981716864815, 0.6662006144809807, 457097000000, 
-2.45090346749113, -2.1325338578684336, 0.665794511139229, 457199000000, 
-2.433251181028973, -2.1186760999351475, 0.6654330391190026, 457301000000, 
-2.415595151588044, -2.104825025375396, 0.665109068156684, 457403000000, 
-2.397935842979866, -2.0909800094748614, 0.664826902061456, 457505000000, 
-2.380272868365696, -2.0771396486756917, 0.6645705972044724, 457607000000, 
-2.3684953392472536, -2.067914794837453, 0.6644105178160078, 457675000000, 
-2.350826012807397, -2.0540802431204006, 0.6642003371476157, 457777000000, 
-2.333153892831747, -2.040249026867559, 0.6640127898477007, 457879000000, 
-2.315479958265857, -2.0264213257207015, 0.6638449403659736, 457981000000, 
-2.2978044614493887, -2.012596799759321, 0.6636942529902986, 458083000000, 
-2.2801270654465795, -1.9987747641712972, 0.6635628511592306, 458185000000, 
-2.268340917240537, -1.9895610932635093, 0.6634790405080028, 458253000000, 
-2.250660076305252, -1.9757419638261695, 0.663368569218736, 458355000000, 
-2.232977822571565, -1.9619246308406721, 0.6632701721219094, 458457000000, 
-2.215294601656854, -1.9481091457652169, 0.6631821739974866, 458559000000, 
-2.197610564966391, -1.9342953167452546, 0.6631058541366297, 458661000000, 
-2.17992552679607, -1.9204827804935427, 0.6630354803100349, 458763000000, 
-2.1622393417991232, -1.906671201571461, 0.6629721050416514, 458865000000, 
-2.1445521780841514, -1.892860523828181, 0.6629155412474504, 458967000000, 
-2.1268643772942064, -1.8790508616287718, 0.6628648710660304, 459069000000, 
-2.11507226774023, -1.869844988180166, 0.6628334050557301, 459137000000, 
-2.097383694990557, -1.8560369036740774, 0.6627911816764103, 459239000000, 
-2.0796945320476974, -1.842229489002464, 0.662753374531619, 459341000000, 
-2.062004728003412, -1.8284225999308803, 0.6627194742021698, 459443000000, 
-2.0443144343167092, -1.8146162380137454, 0.6626899981321854, 459545000000, 
-2.026623756012309, -1.800810406755525, 0.662662761840472, 459647000000, 
-2.0089328686818484, -1.7870051522793124, 0.662638155098263, 459749000000, 
-1.9912416714327095, -1.7732003265832206, 0.6626161103226301, 459851000000, 
-1.9794473410120699, -1.7639972950612326, 0.6626024301837595, 459919000000, 
-1.9617555837076193, -1.7501930123165292, 0.6625839820989835, 460021000000, 
-1.9499609089062142, -1.7409903126765496, 0.6625729718982124, 460089000000, 
-1.9263713065310628, -1.7225853377872906, 0.6625524684522659, 460225000000, 
-1.9145764265687961, -1.7133830686750098, 0.6625437536827488, 460293000000, 
-1.8968839523224963, -1.6995798624906433, 0.6625310495545086, 460395000000, 
-1.8791912471889947, -1.6857768281638115, 0.6625196873353687, 460497000000, 
-1.8614983399595446, -1.671973959330491, 0.662509208651922, 460599000000, 
-1.8438053560489704, -1.6581713172441914, 0.662500058821625, 460701000000, 
-1.8261122930426725, -1.6443688695399812, 0.6624919285217203, 460803000000, 
-1.8084190567225693, -1.6305665209716813, 0.6624844636363698, 460905000000, 
-1.7908051788348998, -1.6168262841858163, 0.6624775049898397, 461007000000, 
-1.7792092975370066, -1.6077806738156326, 0.6624734355271118, 461075000000, 
-1.7621161750195964, -1.5944469686547227, 0.6624676553616909, 461177000000, 
-1.7453839880196522, -1.5813949622892132, 0.6624624452989212, 461279000000, 
-1.7290121782488255, -1.568624206951162, 0.6624577481051246, 461381000000, 
-1.7130378653268332, -1.5561636354914532, 0.6624536811184908, 461483000000, 
-1.6972587298552937, -1.5438554134134002, 0.662449573325585, 461585000000, 
-1.6819390782736803, -1.5319056974029837, 0.6624462135106539, 461687000000, 
-1.6669558007870668, -1.5202184391337525, 0.6624430879325999, 461789000000, 
-1.6523012012378195, -1.5087876280425392, 0.6624402582789168, 461891000000, 
-1.6427114389199797, -1.5013074977542837, 0.6624385034779905, 461959000000, 
-1.6285916222536188, -1.4902939304987954, 0.6624361541230612, 462061000000, 
-1.614782119783645, -1.4795224515660184, 0.6624340332605345, 462163000000, 
-1.6012757481833177, -1.4689874638652884, 0.6624321473810516, 462265000000, 
-1.5880991807858487, -1.458709752325254, 0.6624305491288576, 462367000000, 
-1.5751799008569183, -1.4486327654559938, 0.6624289630477523, 462469000000, 
-1.56672497607776, -1.4420379733385558, 0.662427981256386, 462537000000, 
-1.554275400899852, -1.4323273947462722, 0.6624267232384484, 462639000000, 
-1.5420989147256956, -1.4228298515079307, 0.6624255871878102, 462741000000, 
-1.5301893361040049, -1.4135405105661787, 0.6624245679562869, 462843000000, 
-1.5185705553959585, -1.4044780038529066, 0.6624237448241289, 462945000000, 
-1.5109476461900717, -1.3985322375864542, 0.6624231092940447, 463013000000, 
-1.4997232826970033, -1.3897773934551434, 0.6624223819577371, 463115000000, 
-1.4851402760943933, -1.378402875388562, 0.6624215274387639, 463251000000, 
-1.4744823904092503, -1.3700899018384052, 0.6624209762245987, 463353000000, 
-1.4674814933930203, -1.364629322593089, 0.6624207022142443, 463421000000, 
-1.4571344104220503, -1.3565587811959952, 0.66242021617115, 463523000000, 
-1.4470392393055598, -1.3486847328302844, 0.662419782771365, 463625000000, 
-1.437214653262372, -1.3410217458240685, 0.6624194773378979, 463727000000, 
-1.4276304061535487, -1.3335462160527876, 0.6624192510320536, 463829000000, 
-1.4182344970147294, -1.3262175935970906, 0.6624189684165457, 463931000000, 
-1.4090461483188634, -1.3190508644209868, 0.6624187544939694, 464033000000, 
-1.400060178261336, -1.3120419927400195, 0.6624185951846555, 464135000000, 
-1.3941791589582353, -1.307454915599862, 0.6624185173260184, 464203000000, 
-1.3855192226958424, -1.3007003482256656, 0.6624184119628709, 464305000000, 
-1.3770496016333882, -1.294094219740897, 0.6624183236406747, 464407000000, 
-1.368766202283247, -1.2876333440274874, 0.6624182724327838, 464509000000, 
-1.3606849403754737, -1.2813301255944471, 0.6624182682647257, 464611000000, 
-1.3527613536501508, -1.2751498984749847, 0.6624182271839409, 464713000000, 
-1.3450118171031764, -1.269105417411714, 0.6624182222368383, 464815000000, 
-1.3399401930924701, -1.265149658172463, 0.6624182504781729, 464883000000, 
-1.332472296330974, -1.259324858204015, 0.6624182844969658, 464985000000, 
-1.3251681179071813, -1.253627752249707, 0.6624183265361823, 465087000000, 
-1.3180244104380339, -1.2480558085329838, 0.6624183896079542, 465189000000, 
-1.3110550732925517, -1.2426198729170246, 0.6624184820921102, 465291000000, 
-1.304221809958719, -1.237290067470573, 0.6624185270326517, 465393000000, 
-1.2975387268773646, -1.2320773967169416, 0.6624185958150436, 465495000000, 
-1.2910023721441577, -1.2269791783410413, 0.6624186894184695, 465597000000, 
-1.284609352161579, -1.2219927549657577, 0.662418795511833, 465699000000, 
-1.2804253855081067, -1.218729345037194, 0.6624188804986231, 465767000000, 
-1.2742645983301646, -1.2139240544446948, 0.662419004156024, 465869000000, 
-1.2682392147191963, -1.2092243748574651, 0.6624191243218611, 465971000000, 
-1.2623462374846919, -1.204627967944934, 0.6624192505582178, 466073000000, 
-1.256597051458558, -1.2001437094475833, 0.6624194074137814, 466175000000, 
-1.250960122285593, -1.195747016136311, 0.6624195219441199, 466277000000, 
-1.2454470661471981, -1.1914469382562198, 0.6624196512610272, 466379000000, 
-1.2418390279820741, -1.1886327364061129, 0.6624197588552118, 466447000000, 
-1.236526270108401, -1.184488878515305, 0.6624199046645641, 466549000000, 
-1.23132990978352, -1.1804358196559315, 0.6624200488891213, 466651000000, 
-1.2262477848154845, -1.1764718553448823, 0.6624201983892294, 466753000000, 
-1.2212896334425545, -1.1726045815916375, 0.6624203656332687, 466855000000, 
-1.2180367237172645, -1.1700673682710003, 0.6624204353518298, 466923000000, 
-1.2132468842718307, -1.1663313822878507, 0.6624205925233382, 467025000000, 
-1.2085623417880953, -1.1626775231557083, 0.6624207546361751, 467127000000, 
-1.2039804634144649, -1.1591037359282743, 0.6624209180885186, 467229000000, 
-1.1994882668525735, -1.1555998986063913, 0.6624210931337523, 467331000000, 
-1.1965229696183919, -1.1532870152465875, 0.6624212219904079, 467399000000, 
-1.1922044768734248, -1.1499186606665837, 0.6624213444705919, 467501000000, 
-1.1879809462293018, -1.1466243753046417, 0.662421504888941, 467603000000, 
-1.183850220062632, -1.14340247239738, 0.6624216758892075, 467705000000, 
-1.1798008236290205, -1.1402440018192557, 0.6624218570870549, 467807000000, 
-1.1771574176340707, -1.1381821827215035, 0.6624219489266787, 467875000000, 
-1.1732651140634094, -1.135146250371634, 0.6624221134797754, 467977000000, 
-1.1694583634586635, -1.1321770345039313, 0.6624222902606036, 468079000000, 
-1.165735309758312, -1.129273114415969, 0.6624224603201975, 468181000000, 
-1.1620853050935678, -1.1264261595213063, 0.6624226383230943, 468283000000, 
-1.1585242030835725, -1.1236485536459069, 0.6624228010048353, 468385000000, 
-1.1550413071595138, -1.1209319421045796, 0.6624229534877338, 468487000000, 
-1.152761961559698, -1.1191540839715648, 0.6624230680154496, 468555000000, 
-1.149405734555611, -1.1165362683482722, 0.6624232352362184, 468657000000, 
-1.146123368570659, -1.1139760602313646, 0.6624234028800748, 468759000000, 
-1.1429131235980545, -1.111472118660621, 0.6624235668027834, 468861000000, 
-1.1397812454897367, -1.109029289372747, 0.6624237467565882, 468963000000, 
-1.1367105080169488, -1.1066341432547926, 0.6624239010093546, 469065000000, 
-1.1337072462262905, -1.1042916478447755, 0.6624240607515239, 469167000000, 
-1.131741785730121, -1.1027586124030266, 0.6624241778462555, 469235000000, 
-1.1288476041454676, -1.1005011840837993, 0.6624243452053407, 469337000000, 
-1.1260168906406491, -1.0982932573188064, 0.6624245084579992, 469439000000, 
-1.1232483948786487, -1.096133855465421, 0.6624246748491387, 469541000000, 
-1.1205474686214174, -1.0940271617188502, 0.6624248553628961, 469643000000, 
-1.1187754293959722, -1.0926449914546223, 0.6624249219945182, 469711000000, 
-1.1161661646538026, -1.0906097906257624, 0.6624250419365719, 469813000000, 
-1.113614205692183, -1.0886192939856996, 0.6624251915451276, 469915000000, 
-1.1111182737882963, -1.086672487849951, 0.6624254322700771, 470017000000, 
-1.1086831793904226, -1.0847731323654146, 0.6624256298033683, 470119000000, 
-1.1062956137634634, -1.0829108514140677, 0.6624258139736517, 470221000000, 
-1.103960496568551, -1.081089485789751, 0.6624259801906868, 470323000000, 
-1.1024323010210673, -1.0798975066234073, 0.6624260781946659, 470391000000, 
-1.1001819965524604, -1.0781422863374912, 0.662426226523874, 470493000000, 
-1.097981079652227, -1.0764255873998883, 0.6624264221182539, 470595000000, 
-1.096535458987745, -1.0752980161996992, 0.6624264800791496, 470663000000, 
-1.094425024530111, -1.0736518912238566, 0.66242663317852, 470765000000, 
-1.0930319452263395, -1.0725653005733382, 0.6624267740532859, 470833000000, 
-1.0909882141371472, -1.0709712040278476, 0.6624270104212953, 470935000000, 
-1.088989370388319, -1.0694121212363499, 0.6624271337162623, 471037000000, 
