x, y, theta, stamp, 
-1.0112553026394833, -1.0120601723952756, 0.4300041064487758, 1254771000000, 
-1.0112552918264393, -1.01206016741325, 0.43000410782758186, 1254805000000, 
-1.0102066782958297, -1.011579426477039, 0.4301083155429244, 1254839000000, 
-1.008514120492589, -1.0108045382974602, 0.4273110789344214, 1254873000000, 
-1.0062829157681676, -1.0098008871049018, 0.4149425244867246, 1254907000000, 
-1.0034875587866432, -1.0085999299325217, 0.393704054739372, 1254941000000, 
-0.9961470103785556, -1.0057888677323716, 0.3336572517453205, 1255009000000, 
-0.980643808198562, -1.0016286057571857, 0.18523674282348543, 1255111000000, 
-0.9594202137656886, -0.9998752758785889, -0.02582575280153127, 1255213000000, 
-0.9368321963658852, -1.0029864866005067, -0.2443082725210109, 1255315000000, 
-0.9154096686916211, -1.0107592807545431, -0.45418194035691145, 1255417000000, 
-0.8959437660008486, -1.0225265069262148, -0.6296379254900965, 1255519000000, 
-0.8787589944038852, -1.0373899702809335, -0.7932760129321847, 1255621000000, 
-0.863767736235669, -1.0543552112781505, -0.899357092933088, 1255723000000, 
-0.854753012656353, -1.066444646558906, -0.9620414321721362, 1255791000000, 
-0.8425619356578051, -1.0854693462096476, -1.0421605736457327, 1255893000000, 
-0.8320341677641873, -1.1051220600937965, -1.121274690615056, 1255995000000, 
-0.8231590496655675, -1.1254764913516986, -1.199965988668779, 1256097000000, 
-0.8159641260193704, -1.146609948860942, -1.2880866718364756, 1256199000000, 
-0.810627978737691, -1.168483944711903, -1.3748284268802418, 1256301000000, 
-0.8081108815692964, -1.1832879425069458, -1.4317872991754996, 1256369000000, 
-0.8059754472680638, -1.2053804894553735, -1.5184497290395405, 1256471000000, 
-0.8057000458821628, -1.2275222600143205, -1.598834143733207, 1256573000000, 
-0.8071056116736952, -1.2499243661944113, -1.6664867565137742, 1256675000000, 
-0.8098785073939956, -1.2723028912398564, -1.7220988903102594, 1256777000000, 
-0.8138550903764553, -1.2944902740707074, -1.7723955846422241, 1256879000000, 
-0.8188752851183687, -1.3164539857969964, -1.8177244012329021, 1256981000000, 
-0.8227452194053703, -1.3309614433187142, -1.84642272353414, 1257049000000, 
-0.8293118875151854, -1.3524978477839973, -1.8879557506456253, 1257151000000, 
-0.8367817225940122, -1.3737371233144893, -1.9302460626223632, 1257253000000, 
-0.8451348705001217, -1.3946463296544367, -1.9718280688144467, 1257355000000, 
-0.8543296428948958, -1.4151995219590545, -2.01175539838875, 1257457000000, 
-0.8643155532100809, -1.435377790690489, -2.0488872251443118, 1257559000000, 
-0.8750224086361675, -1.4551794711875483, -2.083688284840814, 1257661000000, 
-0.8863789530549725, -1.4746056168853587, -2.11544799934004, 1257763000000, 
-0.8942726049859501, -1.4873560396165317, -2.135400851579483, 1257831000000, 
-0.906539139886598, -1.506163339611329, -2.1626089976315837, 1257933000000, 
-0.9193204867761035, -1.524656305714, -2.188093886831928, 1258035000000, 
-0.9325531795291127, -1.5428384192412432, -2.21182408827037, 1258137000000, 
-0.9461941105339962, -1.5607120543602593, -2.233631771950692, 1258239000000, 
-0.9602133627047591, -1.5782852172733577, -2.254510699348591, 1258341000000, 
-0.9697563176163354, -1.5898384674953374, -2.2681002805792088, 1258409000000, 
-0.9843528197905019, -1.6069287215325796, -2.2874306989637447, 1258511000000, 
-0.9992660761581704, -1.6237422588684851, -2.3056040948931527, 1258613000000, 
-1.0144743970202605, -1.6402888748451834, -2.3227988825483794, 1258715000000, 
-1.029951850805088, -1.656580428281946, -2.3384351914532764, 1258817000000, 
-1.0456743389759275, -1.6726312592850554, -2.3531231077989085, 1258919000000, 
