e, e_dot, e_int, stamp, 
-2.786647872180382, -0.002420376043579427, -0.18948086355391136, 1254839000000, 
-2.784080952423188, 0.022745531814236927, -0.18942827594882772, 1254873000000, 
-2.772020057958161, 0.1434099433551093, -0.18910230800473257, 1254907000000, 
-2.7511805109554945, 0.3225533477224869, -0.1882983811503018, 1254941000000, 
-2.692263368756969, 0.4931188049208733, -0.2793257738808012, 1255009000000, 
-2.546654236887726, 0.7646563567550041, -0.452772226607344, 1255111000000, 
-2.340380286213946, 1.1499447141928858, -0.5153922566463875, 1255213000000, 
-2.1281782085647514, 1.3675687200097215, -0.4770344657533167, 1255315000000, 
-1.9254136691671573, 1.35610005570846, -0.43479010714831806, 1255417000000, 
-1.757560180664012, 1.2111700258194098, -0.3951583399709226, 1255519000000, 
-1.6017424365612336, 1.0577491261631493, -0.35936070747468335, 1255621000000, 
-1.503494647332853, 0.8302795206900622, -0.33067021398995067, 1255723000000, 
-1.4460069720011346, 0.602873536686138, -0.2579038298340625, 1255791000000, 
-1.3736168624227725, 0.518371315607646, -0.24497671396621637, 1255893000000, 
-1.3020347934170604, 0.47049731563422936, -0.2802727866931857, 1255995000000, 
-1.2307115995416886, 0.46701066301007793, -0.2656327013659434, 1256097000000, 
-1.1498206707683112, 0.4974317733619256, -0.25041456033344006, 1256199000000, 
-1.0701314259640693, 0.5247718090771873, -0.23464513134663667, 1256301000000, 
-1.0177283503983097, 0.5173001900420958, -0.18346855867073908, 1256369000000, 
-0.9375476135961704, 0.5189063730417603, -0.17143975209765114, 1256471000000, 
-0.863300978601474, 0.5046646137151493, -0.19166323209652486, 1256573000000, 
-0.8015450072079453, 0.44445296205302337, -0.1769627647595801, 1256675000000, 
-0.7515831119296685, 0.36509106755491993, -0.16431717864625794, 1256777000000, 
-0.7066807135188011, 0.31001403166386987, -0.1536670006206362, 1256879000000, 
-0.6665162677952723, 0.27799622266142565, -0.14448504634057444, 1256981000000, 
-0.641142200328847, 0.2556390422325714, -0.11414588695976548, 1257049000000, 
-0.6044152847851489, 0.2444052834749543, -0.10835084599819186, 1257151000000, 
-0.5667076568149354, 0.24325014220232533, -0.12323402965116731, 1257253000000, 
-0.529477386089656, 0.24489509377612073, -0.11564082228290233, 1257355000000, 
-0.4936696395529334, 0.23868633092157512, -0.10811011840711167, 1257457000000, 
-0.4604276108060512, 0.22565286040393726, -0.10088307527850755, 1257559000000, 
-0.4292982385888955, 0.21036405543803247, -0.09407089324845584, 1257661000000, 
-0.40100474762396754, 0.1941923633401427, -0.08776968059728615, 1257763000000, 
-0.3832579342204907, 0.17945657212465096, -0.06876845215789004, 1257831000000, 
-0.35920641532045394, 0.16559391831781703, -0.06479658217267835, 1257933000000, 
-0.3367126487599901, 0.15210877601470796, -0.07338403588446356, 1258035000000, 
-0.3158202847769851, 0.1417847403381335, -0.06879827572230517, 1258137000000, 
-0.2967044828237473, 0.13074564031451893, -0.06454814431252912, 1258239000000, 
-0.27837769704554427, 0.1223613978151661, -0.0605813675959468, 1258341000000, 
-0.26641496502573414, 0.1185323000258765, -0.047684838210718124, 1258409000000, 
-0.24941484274955394, 0.11419679838527906, -0.04500509193984716, 1258511000000, 
-0.23344563360358572, 0.10774291314427588, -0.050950730013763414, 1258613000000, 
-0.2183342068455607, 0.10157070556860537, -0.04768123845751162, 1258715000000, 
-0.20466756262870245, 0.09404598357804993, -0.04463842340929372, 1258817000000, 
-0.19184337549344432, 0.08657134428796205, -0.0418094698578041, 1258919000000, 
-0.17978311402504055, 0.0813217274629474, -0.039187995546008735, 1259021000000, 
-0.1720787257297407, 0.07717922846847564, -0.030809962197399447, 1259089000000, 
-0.16136538916754706, 0.07277751308870396, -0.029082876305598603, 1259191000000, 
-0.1546642819239925, 0.06785946871740349, -0.027659475819872548, 1259259000000, 
-0.1449126148026032, 0.06471675812653964, -0.026120062867334756, 1259361000000, 
-0.13877862401655827, 0.06193677549168857, -0.02484014617544539, 1259429000000, 
-0.13018563140702666, 0.05815025747908172, -0.02345302264615066, 1259531000000, 
-0.12218366664263414, 0.05423188684288934, -0.026598058700502893, 1259633000000, 
-0.11445611376240228, 0.051403652433413015, -0.024944128003220285, 1259735000000, 
-0.10748353772315022, 0.04803963699177749, -0.023400385632716687, 1259837000000, 
-0.10086391551360707, 0.04441894852547453, -0.021950642555942847, 1259939000000, 
-0.09456373427006692, 0.042221579912036934, -0.020597960750464044, 1260041000000, 
-0.08866783454000293, 0.03985647376994817, -0.01931849293401003, 1260143000000, 
-0.08488951743567563, 0.03778880845279393, -0.015193528220592244, 1260211000000, 
-0.0795944193396485, 0.03582540441999372, -0.014345267041201867, 1260313000000, 
-0.07460244790672554, 0.033617874277614666, -0.016257874158379378, 1260415000000, 
-0.06996997560472629, 0.031452430506281756, -0.01524334531387482, 1260517000000, 
-0.06577283387666588, 0.028854947810652495, -0.014303477502392003, 1260619000000, 
-0.0630297315585917, 0.027162729428665582, -0.011263777325599085, 1260687000000, 
-0.05802142954705669, 0.02572183001883178, -0.012704031658797372, 1260823000000, 
-0.055600263821385276, 0.02414370946783785, -0.01201229689503829, 1260891000000, 
-0.05220914705151314, 0.022950540386860323, -0.009397080957130788, 1260993000000, 
-0.0489777608803692, 0.021642166473908736, -0.010661527679222196, 1261095000000, 
-0.04591264586011645, 0.02057680127907414, -0.010002769657855917, 1261197000000, 
-0.043146690398419896, 0.01905578588872323, -0.009386522605445577, 1261299000000, 
-0.040532768363914506, 0.017581299007195902, -0.008812263114326657, 1261401000000, 
-0.03884052587527265, 0.016837535187804505, -0.006942799129464399, 1261469000000, 
-0.03648576378366064, 0.015990607269852273, -0.006565346621294708, 1261571000000, 
-0.034297388096545145, 0.014846855486037586, -0.007454410087372533, 1261673000000, 
-0.03222474757175631, 0.013924889581386712, -0.007004537162733421, 1261775000000, 
-0.03026167538360003, 0.013188603637075545, -0.0065812991515293, 1261877000000, 
-0.028486117275597245, 0.01221774606587929, -0.006186132735704843, 1261979000000, 
-0.026779226401319356, 0.0113805522296754, -0.00581583729611513, 1262081000000, 
-0.025166591661273774, 0.010848122922625722, -0.005469371602996945, 1262183000000, 
-0.023660353111997434, 0.010192396370333078, -0.005141219639872158, 1262285000000, 
-0.022694115604950937, 0.009658806568124461, -0.004052860088099255, 1262353000000, 
-0.021331742084264693, 0.009188659415869245, -0.0038355519454020734, 1262455000000, 
-0.02005091345305443, 0.008637915529073552, -0.004357220437674364, 1262557000000, 
-0.01886090221973946, 0.008074640080147815, -0.004096561927479983, 1262659000000, 
-0.0177769565457222, 0.007431231723307945, -0.0038548365108590937, 1262761000000, 
-0.017067608861605077, 0.007019500654225314, -0.0030433098322004484, 1262829000000, 
-0.0160807795594593, 0.006702126889939412, -0.002885769548117906, 1262931000000, 
-0.015144954382137588, 0.006283184573423168, -0.003283947310617733, 1263033000000, 
-0.014263648683173091, 0.005938336197013759, -0.0030932780184843582, 1263135000000, 
-0.013423821611423747, 0.005624616897757648, -0.0029126048780179405, 1263237000000, 
-0.012657294090457238, 0.0052495248127969055, -0.0027434439781836768, 1263339000000, 
-0.011922462316232618, 0.0049064029254612075, -0.002584243305231725, 1263441000000, 
-0.011230185006536164, 0.004663755176212661, -0.0024350760160993692, 1263543000000, 
-0.010786188718949319, 0.004438796539466412, -0.0019232007090306924, 1263611000000, 
-0.010168992419022693, 0.004193433762440828, -0.0018238374148554632, 1263713000000, 
-0.00958589426265899, 0.003922530902909574, -0.002076793127242908, 1263815000000, 
