e, e_dot, e_int, stamp, 
0.7844468006882241, 1.5735570439249591e-06, 0.053342378854777696, 3873145000000, 
0.7844467465987457, -5.502035091148217e-07, 0.05334238126681341, 3873179000000, 
0.8288077066158318, 0.4349108424275261, 0.05434789508846351, 3873213000000, 
0.8861220597560168, 0.6222131803641938, 0.11330506858800028, 3873315000000, 
0.9761260335933724, 0.4814324411030737, 0.182991794397635, 3873417000000, 
0.9654803574944301, 0.2593408422823964, 0.1922855346573797, 3873519000000, 
1.0137578033018362, 0.20186435494172184, 0.1674706376820795, 3873587000000, 
1.0756499619445674, 0.4389161024635307, 0.1731103269553139, 3873689000000, 
0.9445901994195132, -0.22603792118406216, 0.20631186159728232, 3873791000000, 
0.8117152519566603, -0.8625317319866247, 0.19257296810581037, 3873893000000, 
0.8352053519278835, -0.35746682186807094, 0.17622273462467586, 3873995000000, 
0.6714944169275705, -0.4582380229708816, 0.15765222141522378, 3874097000000, 
0.5269108538902948, -1.0074983595999631, 0.1382855223467109, 3874199000000, 
0.5679964146333809, -0.33822876566728627, 0.12011531461068471, 3874301000000, 
0.45268722534481887, -0.43097458558744095, 0.0876970213192147, 3874369000000, 
0.4784614759164223, -0.48101154693215564, 0.08495155656736192, 3874471000000, 
0.36664618393828863, -0.2811798738775498, 0.08825005219356802, 3874573000000, 
0.45728299506532877, -0.06921072173559972, 0.08856256453456268, 3874675000000, 
0.32481857692710303, -0.1366915261803451, 0.07811484740328897, 3874777000000, 
0.2199662249003329, -0.7755450005392023, 0.068140610188708, 3874879000000, 
0.2524862081971262, -0.23638028996724458, 0.054214428681670215, 3874981000000, 
0.11754996375615101, -0.3346936638698755, 0.04012016298604548, 3875083000000, 
-0.005251247934114467, -0.8422792684027472, 0.024805374833303064, 3875185000000, 
-0.01421917165288944, -0.4452715597007449, 0.005557840836251669, 3875253000000, 
-0.08537048879207254, -0.2764810546318482, -0.005940984808147665, 3875355000000, 
-0.1141783207634125, -0.3266638859821015, -0.014536222722169463, 3875457000000, 
-0.1970139281096115, -0.36484784090699, -0.02696626616122656, 3875559000000, 
-0.2354492369949357, -0.3963101837631477, -0.03717162103902125, 3875661000000, 
-0.26000663418988257, -0.2058585166021931, -0.047087946352021216, 3875763000000, 
-0.2955655771662168, -0.19645862801072253, -0.053789458487870374, 3875865000000, 
-0.3238092760239395, -0.25465520020561533, -0.0498316176182022, 3875933000000, 
-0.3271958642613648, -0.1495167860261745, -0.05363900732225286, 3876035000000, 
-0.31501403682484996, 0.028742611761730503, -0.06568930404349048, 3876137000000, 
-0.35570160980028404, -0.09315603117293862, -0.06785798274028192, 3876239000000, 
-0.3300960729876619, -0.049287699878470426, -0.06805519693367011, 3876341000000, 
-0.29672920768006067, 0.19272026836674305, -0.06681182855182445, 3876443000000, 
-0.3394393791648955, -0.030533680317756922, -0.06570599686861803, 3876545000000, 
-0.2964635343640503, 0.000868213451014214, -0.06341898424221243, 3876647000000, 
-0.25336138374912537, 0.28130063861362803, -0.060469972214908824, 3876749000000, 
-0.2773413376685346, 0.023307907633369724, -0.04687275449429692, 3876817000000, 
-0.24617745661624335, -0.015706045185694722, -0.04402321008858785, 3876919000000, 
-0.2001987139309635, 0.2521000775737617, -0.04921279055867041, 3877021000000, 
-0.2307469565623385, 0.0504264707643949, -0.04604437264344908, 3877123000000, 
-0.20035039628032786, -0.000495693952171102, -0.042928132540606824, 3877225000000, 
-0.15664957396508838, 0.2421483091413403, -0.03996679102292732, 3877327000000, 
-0.17176315139648612, 0.06872698094164335, -0.0299632435597078, 3877395000000, 
-0.146430263776128, 0.00870105056621411, -0.026907769384469808, 3877497000000, 
-0.11061392098078732, 0.19983408632581312, -0.029158898858431294, 3877599000000, 
-0.08066302724988206, 0.21492560956289522, -0.02296409041646222, 3877701000000, 
-0.09905115615784787, 0.03778681314686092, -0.01974231109841917, 3877803000000, 
-0.0714244544526429, 0.030191414370062637, -0.01707742737450535, 3877905000000, 
-0.06381387825627183, 0.11515450294632697, -0.015931685242939853, 3878007000000, 
-0.06016726161388697, 0.03678821189135923, -0.013287580413950513, 3878109000000, 
-0.0758775634201645, -0.03942380772513943, -0.013590391823741983, 3878211000000, 
-0.06948469093932236, -0.030449115442599307, -0.013976007086189419, 3878313000000, 
-0.06347572697037401, 0.05034744586360998, -0.011834152275358781, 3878381000000, 
-0.0853112811505517, -0.04190231446652017, -0.012368729613414056, 3878483000000, 
-0.08665196933484437, -0.07573935413225608, -0.016009850466992364, 3878585000000, 
-0.08474356639917091, 0.0018552769652966927, -0.017456063548150554, 3878687000000, 
-0.08980090533482915, -0.010290640522826083, -0.017761357992681418, 3878789000000, 
-0.09378803739513714, -0.029557094758059562, -0.018246610620781326, 3878891000000, 
-0.11201076979723606, -0.0725812564130945, -0.020100780451849758, 3878993000000, 
-0.11371884630807072, -0.06513336246056728, -0.021727200438030184, 3879095000000, 
-0.10952790814247598, 0.014961865155416504, -0.018997926374041022, 3879163000000, 
-0.12019662894838795, -0.0056050109674570915, -0.02335415007112756, 3879299000000, 
-0.11581688992768718, -0.004679516579682431, -0.02349681703726148, 3879367000000, 
-0.1349907469945142, -0.041190354692077956, -0.021023575066000062, 3879469000000, 
-0.13201731831985336, -0.05294257644498752, -0.026032096956459718, 3879571000000, 
-0.1341797984086442, 0.0026501587773529317, -0.027280774733164793, 3879673000000, 
-0.13435647815739543, -0.007644313194581931, -0.02723764445224072, 3879775000000, 
-0.13185786002582436, 0.007588033930783749, -0.027226801288246744, 3879877000000, 
-0.12706963047258352, 0.02381322772814351, -0.026743309868594623, 3879979000000, 
-0.15312319256400667, -0.06949455077837353, -0.028019446448244185, 3880081000000, 
-0.13708336200029891, -0.006515739365560537, -0.023645650485423716, 3880149000000, 
-0.13184056011380008, 0.09575995990869433, -0.02391600316509265, 3880251000000, 
-0.12757891025811657, 0.031060299811053405, -0.026962192601310653, 3880353000000, 
-0.15837460413722507, -0.08671256216805552, -0.028409997066621635, 3880455000000, 
-0.1452039864843739, -0.05759828832110241, -0.029318710059820657, 3880557000000, 
-0.13844400031640547, 0.06513269222490065, -0.0300575361837843, 3880659000000, 
-0.13301906772541877, 0.03981999594429784, -0.02833335970778147, 3880761000000, 
-0.12031388140369043, 0.05924875461671583, -0.026640832562294995, 3880863000000, 
-0.10423956811308573, 0.09405065232788579, -0.024314931172469252, 3880965000000, 
-0.10969084077534257, 0.03471581904688843, -0.02272861173986407, 3881067000000, 
-0.11549990104064277, -0.04629040215753969, -0.01866771756264736, 3881135000000, 
-0.10801745422932006, -0.0040233450543385495, -0.018881797775900638, 3881237000000, 
-0.10108010575075364, 0.047123514019245506, -0.022072627349408715, 3881339000000, 
-0.0964058740031236, 0.03794634060848517, -0.02077423351085741, 3881441000000, 
-0.11219026860732362, -0.03630772175349665, -0.021057984888561657, 3881543000000, 
-0.09382151096696975, 0.00844563083710409, -0.020564400443264352, 3881645000000, 
-0.08045350648383398, 0.10371490890029293, -0.01947963945195266, 3881747000000, 
-0.06986316730205805, 0.07829524073500556, -0.0166013965631946, 3881849000000, 
-0.07594793896567124, 0.0047816394978958815, -0.012821661389255253, 3881917000000, 
-0.05726240623797056, 0.031236520366931017, -0.01150749904198966, 3882019000000, 
-0.06571830300285515, 0.03343018288501991, -0.013527148078041793, 3882121000000, 
-0.05632858580038384, 0.003051700776427186, -0.012193032062802249, 3882223000000, 
-0.03930003841417999, 0.08633419800220642, -0.01097159105078449, 3882325000000, 
-0.04662881808360708, 0.03169858730972797, -0.009673506076275621, 3882427000000, 
-0.03421809382103559, 0.016607662069099347, -0.00816999262167994, 3882529000000, 
-0.023574596909250733, 0.07534059207305997, -0.007100662599344751, 3882631000000, 
-0.024678267227934175, 0.02937252102535849, -0.004673354284299162, 3882699000000, 
-0.021660598698687333, 0.004451513239286535, -0.00396176289403276, 3882801000000, 
-0.02399369432991892, 0.0022371663333831822, -0.004782614097444749, 3882903000000, 
-0.01838541798200735, 0.010703204956470529, -0.004354700348721725, 3883005000000, 
-0.02378052424546695, 0.0006966342629149391, -0.0044988552859027385, 3883107000000, 
-0.019826291613138022, -0.004708737356636181, -0.004215471901161638, 3883209000000, 
-0.01680520365421491, 0.02279516533088902, -0.004108017326871751, 3883311000000, 
-0.018432707840869644, 0.004554195334210386, -0.0037443658113591348, 3883413000000, 
-0.015932836844316456, 0.0028508719277727233, -0.0034796108870792683, 3883515000000, 
-0.01678927449532125, 0.005370697207674494, -0.0034785277042744993, 3883617000000, 
-0.018046170969240313, -0.008960073078050293, -0.002876869330836421, 3883685000000, 
-0.017031347673842345, -0.0028448412270608756, -0.002939118277842888, 3883787000000, 
-0.01595555765354266, 0.006832069659142659, -0.003470249188170521, 3883889000000, 
-0.017228162765371632, -0.0006431865736251213, -0.003414624630307451, 3883991000000, 
-0.018493798725506133, -0.00829490546393292, -0.0035140713018205886, 3884093000000, 
-0.016359887643479634, 0.002837500398339863, -0.003541565741136303, 3884195000000, 
-0.017851027472025868, 0.0021005596518962905, -0.003583920541188791, 3884297000000, 
-0.016290903500640108, 0.0027746605507594957, -0.0028617697215815845, 3884365000000, 
-0.017055753689824246, 0.005148156104230398, -0.0029012021308744457, 3884467000000, 
-0.015322268864885788, 0.003165472665863792, -0.003309486971763809, 3884569000000, 
-0.01627727971145511, 0.002544032609049469, -0.0033085605540992295, 3884671000000, 
-0.017486294999837497, -0.00707198083317552, -0.0033378373631801302, 3884773000000, 
-0.016025829173400882, 0.0008217337844909361, -0.003385679464159157, 3884875000000, 
-0.017130671730973004, 0.0011621675453087992, -0.0034437101214863735, 3884977000000, 
-0.015943480161353572, 0.0002691144184552609, -0.0033387987124694667, 3885079000000, 
-0.01630024530498731, 0.0021308622685255684, -0.0027978825078477866, 3885147000000, 
-0.017031717864821813, -0.003541673644857793, -0.0033507301465190635, 3885283000000, 
-0.014992927175508888, 0.008201247104880753, -0.003286092543481625, 3885351000000, 
-0.015430312956647811, 0.00856470670859629, -0.0026891142864954487, 3885453000000, 
-0.016150405785372794, -0.003782609836156555, -0.003167007922392005, 3885555000000, 
-0.014129014324179429, 0.004252609910027395, -0.003108261848501602, 3885657000000, 
-0.014622727187175534, 0.004992413719598889, -0.003053346016177487, 3885759000000, 
-0.01522456557409066, -0.004563628899898017, -0.0024919907348419186, 3885827000000, 
-0.01367920327911832, 0.002100015407188405, -0.0024665014422884557, 3885929000000, 
-0.013507633805691442, 0.005610888132023585, -0.002883975380805228, 3886031000000, 
-0.014178447499654516, -0.0016315170605758053, -0.0028128393517435706, 3886133000000, 
-0.012070139954522538, 0.004697692324081387, -0.0027034230456710576, 3886235000000, 
-0.012033462858663406, 0.007009753728729118, -0.002603179421273151, 3886337000000, 
-0.012380964211334097, -0.0010157655451358148, -0.0024809505576673624, 3886439000000, 
-0.010516014317900987, 0.00495898215935431, -0.0023752700143770972, 3886541000000, 
-0.010407488622792865, 0.006626596196389847, -0.001887253138614917, 3886609000000, 
-0.010721598477372786, -0.0004945140912344365, -0.0017932224136904427, 3886711000000, 
-0.011192756280355709, -0.002566234175041973, -0.002197885349875452, 3886813000000, 
-0.009321091833382353, 0.004576819098007952, -0.0021240103681955374, 3886915000000, 
-0.009614735783726236, 0.005156929727547298, -0.002048743705027572, 3887017000000, 
-0.009795040597280556, -0.001843467878024064, -0.0016280825321487182, 3887085000000, 
-0.009663058873264282, -0.000452534301683682, -0.0016474606644086942, 3887187000000, 
-0.007882090911410178, 0.006251469561667903, -0.001859132945972941, 3887289000000, 
-0.0080437251854103, 0.0052919401563855635, -0.0017400434979657634, 3887391000000, 
-0.007927941516641696, -0.00014983857918796648, -0.0016220555177154275, 3887493000000, 
-0.0077063528532563055, 0.001102523961287563, -0.0016101053297609643, 3887595000000, 
-0.006595404797571543, 0.004354695160359977, -0.0015116195433879287, 3887697000000, 
-0.006695354996614292, 0.0033039145641895877, -0.0014278036600260653, 3887799000000, 
-0.0066340688195686975, -0.00012635301306259753, -0.001354888345735308, 3887901000000, 
-0.006571451461670118, 0.0004049135128894571, -0.0013532595188940112, 3888003000000, 
-0.006739256954572767, -0.0003437520751766979, -0.0013562448520351874, 3888105000000, 
-0.005785666376582489, 0.004126079653865252, -0.001082127904926771, 3888173000000, 
-0.005773499838204084, 0.004714223546940594, -0.0010369106462636958, 3888275000000, 
-0.005578943553688154, 0.0006755647807004427, -0.0011653914642562812, 3888377000000, 
-0.005433089393870022, 0.0011124524324642546, -0.0011414162294318335, 3888479000000, 
-0.00548515598882842, 0.0003064953099991286, -0.0011218088476742884, 3888581000000, 
-0.004859327666480749, 0.0018750383248015456, -0.001072874967344185, 3888683000000, 
-0.004796788148870246, 0.0022495681044384795, -0.0010296064826842, 3888785000000, 
-0.004710897613699264, 0.00048506553196563904, -0.0009769569131754174, 3888887000000, 
-0.0045875764166564345, 0.0006836984712869648, -0.0009584778281873641, 3888989000000, 
-0.0045258391153376945, 0.0007056442778462063, -0.0007833777449226256, 3889057000000, 
-0.004129600954401284, 0.0015975297807664058, -0.00075043760089574, 3889159000000, 
-0.004072792669434451, 0.0014805439408602731, -0.0008655198262637931, 3889261000000, 
-0.003918657096982081, 0.0006893590111738667, -0.0008242314490156114, 3889363000000, 
-0.003789181326348409, 0.0009268344545295485, -0.0008010829143080159, 3889465000000, 
-0.0037258515596906433, 0.0007335634660794796, -0.0006479090990378642, 3889533000000, 
-0.0037056710957367803, 0.0003763892612435029, -0.0006358398923006305, 3889635000000, 
-0.0036957689110389824, 0.00011448934967503205, -0.000630546522099763, 3889703000000, 
-0.003378873788769818, 0.0008252438521195105, -0.0007330613380970995, 3889839000000, 
-0.0033097836963341745, 0.0011153806547560077, -0.0007061409949377223, 3889907000000, 
-0.0031940863532813266, 0.0007167728160337022, -0.0005600221508418347, 3890009000000, 
-0.0030556348869087285, 0.0008305516647890391, -0.0006500463356836475, 3890111000000, 
-0.0029161297904933894, 0.0009083547803527357, -0.0006232778700864741, 3890213000000, 
-0.002860776964246116, 0.0006367905969366427, -0.0006006128316320799, 3890315000000, 
-0.0028527373602866557, 0.00020716480459716908, -0.0005868157998217789, 3890417000000, 
-0.0027556281946959915, 0.00034362342990236727, -0.0005759016913075558, 3890519000000, 
-0.00267313179838765, 0.0005869462807157054, -0.0005631418200291802, 3890621000000, 
-0.0025873662755904678, 0.0005498755526324306, -0.0005450965862698393, 3890723000000, 
-0.0025248877789718627, 0.0005865466265525808, -0.0004411718650004989, 3890791000000, 
-0.0024080252728467116, 0.0006881707550753552, -0.00042614916188651235, 3890893000000, 
-0.002310506293987727, 0.0007005930881834503, -0.0004925525155148285, 3890995000000, 
-0.002233059498788631, 0.0005717835753532048, -0.00047270819246236865, 3891097000000, 
-0.002411986807189931, -0.0003316356640594901, -0.00047297757679770755, 3891199000000, 
-0.0023269853749331507, -0.0003069473076618291, -0.00047409815430199636, 3891301000000, 
-0.0022480596664552835, 0.0005357096102439456, -0.0004751181657033288, 3891403000000, 
-0.002176862952037853, 0.0004905961532526069, -0.0004591297435529875, 3891505000000, 
-0.0020563463107058644, 0.0006265142344752259, -0.000440726287185532, 3891607000000, 
-0.0019641019907634116, 0.0008460232720446655, -0.0003511809710320706, 3891675000000, 
-0.0018145257768087675, 0.0008187864064694844, -0.00039677823732290696, 3891811000000, 
-0.0017529624866263263, 0.0006683892017635452, -0.0003761481372854984, 3891879000000, 
-0.00167508612256774, 0.000556278755987739, -0.00029707921520682725, 3891981000000, 
-0.002038541748370308, -0.0009332655612548424, -0.0003717281443143774, 3892083000000, 
-0.0019883258214154105, -0.001023659146561015, -0.0003877328510800351, 3892185000000, 
-0.0019427040436682773, 0.0003131951134053293, -0.00040593086971487167, 3892287000000, 
-0.0018930871399770975, 0.00031123752104023853, -0.00039603995634413333, 3892389000000, 
-0.001759566688860948, 0.0005984880876056511, -0.0003804843353304299, 3892491000000, 
-0.0015890579808071313, 0.0009935593436927001, -0.000356436403055872, 3892593000000, 
-0.00146255300575392, 0.0009706329513301569, -0.00032716008192869593, 3892695000000, 
-0.001388730640178755, 0.0007752892922090159, -0.000251619358848589, 3892763000000, 
-0.0013011370153820263, 0.0006481280168610334, -0.00023530383747449974, 3892865000000, 
-0.0012406612208270724, 0.00048388699134536777, -0.00026727596359437403, 3892967000000, 
-0.0017807643593141763, -0.0015674096206933004, -0.0002939342564955827, 3893069000000, 
-0.0017565062892998667, -0.001685768197623511, -0.0003248993671219958, 3893171000000, 
-0.001727762478186904, 0.000173208761853831, -0.00035802225262246434, 3893273000000, 
-0.0016948994340887577, 0.00020132959219316677, -0.0003521834377071359, 3893375000000, 
-0.00164117785123135, 0.0003707366613864641, -0.00028695091993206397, 3893443000000, 
-0.0014137402957007106, 0.00100660107783252, -0.0002691563295911797, 3893545000000, 
-0.0012075856129612587, 0.0014169680989218666, -0.0002898502556727457, 3893647000000, 
-0.0011139300673767144, 0.0009797719879869157, -0.00025399740637063045, 3893749000000, 
-0.0010257609219532816, 0.0005941983366273762, -0.0002276148089558053, 3893851000000, 
-0.0009726180746614452, 0.00046180389776231777, -0.00021163701635141797, 3893953000000, 
-0.000962762072459749, 0.00020587859311611988, -0.00020135759269706432, 3894055000000, 
-0.0009643365647466866, 2.4491058076110405e-05, -0.0001643172803391799, 3894123000000, 
-0.0009507586541490434, 3.665415740927033e-05, -0.00016307857984347712, 3894225000000, 
-0.0009204705743793562, 0.00014335290969715812, -0.00019281847394270584, 3894327000000, 
-0.0015688119762660782, -0.002019782098421682, -0.00023392280192602446, 3894429000000, 
-0.0015251765164054354, -0.001976163209235553, -0.0002729832165594591, 3894531000000, 
-0.001472465825655217, 0.0003148567013426837, -0.00031051889364621765, 3894633000000, 
-0.0014268998978150087, 0.0003211654202301527, -0.0003008688723115449, 3894735000000, 
-0.0013647155035423006, 0.0004537337230368315, -0.0002416312695307098, 3894803000000, 
-0.0011138082945605088, 0.0011247836614080194, -0.00022130734276867636, 3894905000000, 
-0.0009009012403969757, 0.0015157328860958329, -0.00022980090261798535, 3895007000000, 
-0.0008275235024129135, 0.0009355712161686121, -0.00019327184654118704, 3895109000000, 
-0.0007505178584186131, 0.0004914489607136032, -0.00016856809688353813, 3895211000000, 
-0.0007196788494997393, 0.0003524335062522033, -0.00015624497430252607, 3895313000000, 
-0.0007307297486510086, 6.466702538432836e-05, -0.00014966299904671653, 3895415000000, 
-0.0007380692324494703, -6.0099290685395515e-05, -0.00014881649248081483, 3895517000000, 
-0.0007273348511158233, 1.1094436389494694e-05, -0.00014933710059070854, 3895619000000, 
-0.0007044247392659249, 0.00010994932412923342, -0.00014754835995252284, 3895721000000, 
-0.0006821260237605924, 0.00018417707551600382, -0.00011978685146806596, 3895789000000, 
-0.0006327009061036365, 0.00027082742129070145, -0.0001144242612507087, 3895891000000, 
-0.0005770604211684412, 0.00034335164245801044, -0.00012864833987022154, 3895993000000, 
-0.0005278916928530553, 0.00034251376879274915, -0.00011816040536850902, 3896095000000, 
-0.0004863244514563998, 0.00029652277683673645, -0.00010820680645249693, 3896197000000, 
